customer_id,first_name,last_name,country,Salary,Total_Amount_Wagered,Age,Gender,Bet_Type_Preference,Total_Number_of_Bets,Number_of_Bonuses_Received,Average_Amount_of_Bonuses_Received
5228,Nicole,Ferrell,Antarctica (the territory South of 60 deg S),55571,45093,40.0,Male,Basketball,97.0,18.0,4708
3734,Jason,George,Lebanon,44410,24754,34.0,Female,Basketball,88.0,19.0,9611
5135,Kevin,Hernandez,Portugal,63131,24668,37.0,Male,Cricket,85.0,19.0,2230
3468,Matthew,Valdez,British Indian Ocean Territory (Chagos Archipelago),19137,6006,12.0,Female,Basketball,39.0,15.0,5302
3374,Sarah,Ware,Bulgaria,24021,7413,16.0,Male,Bingo,51.0,17.0,5464
2038,Jason,Garcia,Latvia,22723,8775,16.0,Male,Basketball,49.0,17.0,1799
5889,Samantha,Cunningham,Tanzania,88505,17679,27.0,Female,Cricket,38.0,15.0,868
7130,Colleen,Greene,Korea,58591,42006,40.0,Male,Cricket,95.0,18.0,3626
6637,Henry,Moore,Pitcairn Islands,43511,15865,30.0,Male,Tennis,82.0,19.0,1932
6468,Amy,Berry,Malawi,75624,69457,32.0,Male,Cricket,80.0,20.0,8420
4966,Steven,Pennington,Niger,78752,14910,30.0,Male,Cricket,59.0,19.0,1827
7689,Daniel,Adams,Czech Republic,42028,53150,36.0,Female,Basketball,95.0,18.0,7881
3796,Nichole,Johnson,Iraq,43761,18087,31.0,Male,Football,84.0,19.0,2160
9078,Sarah,Johnson,United States Virgin Islands,50969,16904,33.0,Male,Bingo,86.0,19.0,6411
7695,James,Sullivan,South Georgia and the South Sandwich Islands,58364,36502,39.0,Male,Football,94.0,18.0,3508
2436,Kara,Villarreal,Lesotho,20737,9902,16.0,Female,Cricket,45.0,16.0,2885
5516,Bryan,King,Belarus,37702,52362,35.0,Female,Cricket,91.0,19.0,7921
7184,Christy,Long,United States Minor Outlying Islands,20059,7399,14.0,Female,Cricket,42.0,16.0,4157
2560,Anthony,Joyce,Armenia,45077,15882,31.0,Female,Basketball,83.0,19.0,2070
6259,Vicki,Nelson,Congo,38846,55060,35.0,Male,Football,93.0,18.0,6852
3428,Ryan,Simmons,Solomon Islands,46451,33860,37.0,Male,Basketball,93.0,18.0,2970
5208,James,Velazquez,Gibraltar,37878,68373,30.0,Male,Cricket,93.0,18.0,4116
3621,Jimmy,Harrington,Norfolk Island,45798,22346,34.0,Female,Cricket,87.0,19.0,7184
2815,Paul,Richardson,Iraq,37591,23452,32.0,Male,Cricket,82.0,19.0,4383
8192,Angela,Houston,Brunei Darussalam,68711,18205,34.0,Male,Football,76.0,19.0,2683
3250,Jeanne,Chambers,Saudi Arabia,23829,9354,17.0,Male,Poker,52.0,18.0,2042
5248,Andrew,Carter,Myanmar,27626,39617,30.0,Female,Poker,74.0,20.0,3797
8976,Matthew,Green,Antarctica (the territory South of 60 deg S),33173,12034,24.0,Male,Keno,69.0,19.0,836
5248,Andrew,Carter,Myanmar,44545,33976,37.0,Female,Football,92.0,18.0,9524
6996,Eddie,Smith,Namibia,59259,44781,40.0,Female,Cricket,96.0,18.0,8920
8549,Christopher,Thompson,Israel,27990,13426,22.0,Male,Bingo,62.0,19.0,457
